2021-09-15 21:04:42,263: 's':
2021-09-15 21:04:42,458: 'x':
2021-09-15 21:04:42,705: 's':
2021-09-15 21:04:43,031: 's':
2021-09-15 21:04:43,401: 'd':
2021-09-15 21:04:43,641: Key.backspace:
2021-09-15 21:04:44,143: Key.backspace:
2021-09-15 21:04:44,227: Key.backspace:
2021-09-15 21:04:44,310: Key.backspace:
2021-09-15 21:04:44,395: Key.backspace:
2021-09-15 21:04:44,479: Key.backspace:
2021-09-15 21:04:44,563: Key.backspace:
2021-09-15 21:04:44,647: Key.backspace:
2021-09-15 21:04:44,731: Key.backspace:
2021-09-15 21:04:48,399: 's':
2021-09-15 21:04:48,475: 'o':
2021-09-15 21:04:48,655: Key.space:
2021-09-15 21:04:48,871: 't':
2021-09-15 21:04:49,040: 'h':
2021-09-15 21:04:49,225: 'i':
2021-09-15 21:04:49,329: 's':
2021-09-15 21:04:49,429: Key.space:
2021-09-15 21:04:49,593: 'i':
2021-09-15 21:04:49,706: 's':
2021-09-15 21:04:49,790: Key.space:
2021-09-15 21:04:49,958: 'h':
2021-09-15 21:04:50,123: 'o':
2021-09-15 21:04:50,211: 'w':
2021-09-15 21:04:50,323: Key.space:
2021-09-15 21:04:50,450: 'a':
2021-09-15 21:04:50,549: Key.space:
2021-09-15 21:04:50,686: 'h':
2021-09-15 21:04:50,766: 'a':
2021-09-15 21:04:50,977: 'c':
2021-09-15 21:04:51,072: 'k':
2021-09-15 21:04:51,237: 'e':
2021-09-15 21:04:51,329: 'r':
2021-09-15 21:04:51,434: Key.space:
2021-09-15 21:04:51,655: 'c':
2021-09-15 21:04:51,783: 'o':
2021-09-15 21:04:51,883: 'u':
2021-09-15 21:04:52,082: 'l':
2021-09-15 21:04:52,183: 'd':
2021-09-15 21:04:52,302: Key.space:
2021-09-15 21:04:54,454: 's':
2021-09-15 21:04:54,542: 't':
2021-09-15 21:04:54,649: 'e':
2021-09-15 21:04:54,857: 'a':
2021-09-15 21:04:54,941: 'l':
2021-09-15 21:04:55,151: Key.space:
2021-09-15 21:04:55,276: 'w':
2021-09-15 21:04:55,366: 'h':
2021-09-15 21:04:55,481: 'a':
2021-09-15 21:04:55,557: 't':
2021-09-15 21:04:55,719: Key.space:
2021-09-15 21:04:55,968: 'y':
2021-09-15 21:04:56,127: 'o':
2021-09-15 21:04:56,215: 'u':
2021-09-15 21:04:56,429: Key.space:
2021-09-15 21:04:56,674: 't':
2021-09-15 21:04:56,835: 'y':
2021-09-15 21:04:57,065: 'p':
2021-09-15 21:04:57,175: 'e':
2021-09-15 21:04:57,286: Key.space:
2021-09-15 21:04:58,367: 'm':
2021-09-15 21:04:58,593: 'y':
2021-09-15 21:04:58,788: Key.space:
2021-09-15 21:04:59,008: 'p':
2021-09-15 21:04:59,139: 'a':
2021-09-15 21:04:59,351: 's':
2021-09-15 21:04:59,514: 's':
2021-09-15 21:04:59,718: 'w':
2021-09-15 21:04:59,840: 'o':
2021-09-15 21:04:59,988: 'r':
2021-09-15 21:05:00,207: 'd':
2021-09-15 21:05:00,307: Key.space:
2021-09-15 21:05:00,473: 'i':
2021-09-15 21:05:00,579: 's':
2021-09-15 21:05:00,673: Key.space:
2021-09-15 21:05:00,910: 'y':
2021-09-15 21:05:01,076: 'o':
2021-09-15 21:05:01,175: 'u':
2021-09-15 21:05:01,433: Key.space:
2021-09-15 21:05:01,604: 'n':
2021-09-15 21:05:01,692: 'a':
2021-09-15 21:05:01,820: 'n':
2021-09-15 21:05:01,872: 'a':
2021-09-15 21:05:02,429: Key.backspace:
2021-09-15 21:05:02,581: Key.backspace:
2021-09-15 21:05:02,719: Key.backspace:
2021-09-15 21:05:02,848: Key.backspace:
2021-09-15 21:05:02,987: Key.backspace:
2021-09-15 21:05:03,127: Key.backspace:
2021-09-15 21:05:03,226: 'r':
2021-09-15 21:05:03,806: Key.backspace:
2021-09-15 21:05:04,326: 'u':
2021-09-15 21:05:04,451: 'r':
2021-09-15 21:05:04,627: Key.space:
2021-09-15 21:05:05,007: 'n':
2021-09-15 21:05:05,118: 'a':
2021-09-15 21:05:05,207: 'n':
2021-09-15 21:05:09,446: Key.ctrl:
2021-09-15 21:05:09,582: '\x03':
